index,target
26461447,5223
26464220,5223
26467473,5223
26468989,5223
26471705,5223
26476036,5223
26480630,5223
26480759,5223
26483824,5223
26483941,5223
26484949,5223
26490413,5223
26490523,5223
26491255,5223
26492212,5223
26493035,5223
26496645,5223
26499791,5223
26500507,5223
26618031,5223
26624468,5223
26629487,5223
26711094,5223
26715601,5223
26760335,5223
26852211,5223
26879318,5223
26915525,5223
27004627,5223
27086721,5223
27194584,5223
27207501,5223
27238338,5223
27273737,5223
27293528,5223
27322282,5223
27338657,5223
27519690,5223
27599217,5223
27616721,5223
27696979,5223
27744164,5223
27908006,5223
27950280,5223
28051750,5223
28079529,5223
28120654,5223
28131000,5223
28164499,5223
28287003,5223
28322781,5223
28362883,5223
28408997,5223
28502380,5223
28544924,5223
28580642,5223
28656067,5223
28682557,5223
28713996,5223
28779402,5223
29045035,5223
29251830,5223
29265059,5223
29317983,5223
29335958,5223
29403222,5223
29412417,5223
29512587,5223
29621132,5223
29699806,5223
29961376,5223
30100994,5223
30135163,5223
30201387,5223
30218409,5223
30261090,5223
30390778,5223
30390792,5223
30392227,5223
30431567,5223
30465532,5223
30487826,5223
30563720,5223
30579647,5223
30662862,5223
30703754,5223
30799467,5223
30814187,5223
30942225,5223
30986815,5223
31051267,5223
31217900,5223
31380948,5223
31498462,5223
31527689,5223
31535525,5223
31541725,5223
31580800,5223
31694564,5223
31704994,5223
31770416,5223
31784691,5223
31816391,5223
31819576,5223
31853530,5223
31911621,5223
31959550,5223
32024518,5223
32059012,5223
32113803,5223
32120496,5223
32203688,5223
32349751,5223
32360603,5223
32388059,5223
32439807,5223
32483361,5223
32520109,5223
32523661,5223
32541762,5223
32586967,5223
32667362,5223
32689253,5223
32702148,5223
32867449,5223
32997721,5223
33093431,5223
33150926,5223
33163344,5223
33196745,5223
33272169,5223
33478778,5223
33528687,5223
33570375,5223
33613963,5223
33617484,5223
33645300,5223
33807408,5223
33820728,5223
33826816,5223
33867329,5223
33927250,5223
34128588,5223
34251576,5223
34254143,5223
34323910,5223
34370227,5223
34486750,5223
34643293,5223
34671595,5223
34715183,5223
34763137,5223
34769205,5223
34778015,5223
34835882,5223
34840445,5223
34882750,5223
34911911,5223
34974023,5223
34981729,5223
35098778,5223
35135357,5223
35137344,5223
35261375,5223
35327508,5223
35339772,5223
35372753,5223
35386003,5223
35390365,5223
35400105,5223
35424128,5223
35478365,5223
35485553,5223
35660835,5223
35708881,5223
35727328,5223
35811468,5223
35958895,5223
36095512,5223
36153239,5223
36158895,5223
36233510,5223
36319882,5223
36340937,5223
36385424,5223
36486765,5223
36595416,5223
36791074,5223
36811340,5223
36811507,5223
36917993,5223
36945454,5223
36951505,5223
37096728,5223
37105952,5223
37106130,5223
37135261,5223
37155233,5223
37188868,5223
37284181,5223
37424272,5223
37463294,5223
37470970,5223
37682034,5223
37848184,5223
37857161,5223
37880769,5223
